tw,ch,en
劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis supplied
分享訴訟成果,分享诉讼成果,champerty
事實審裁者,事实审裁者,tribunal of fact
司法認知,司法认知,judicial knowledge
協助及教唆,协助及教唆,aiding and abetting
逾期逗留,逾期逗留,overstaying
精神狀態,精神状态,mental state
身體受嚴重傷害,身体受严重伤害,grievous bodily harm
承認事實書,承认事实书,statement of admitted facts
在法院以外作出的陳述,在法院以外作出的陈述,out-of-court statement
證供責任,证供责任,evidential burden
口頭證據,口头证据,parol evidence
證明案件無合理疑點,证明案件无合理疑点,prove a case beyond reasonable doubt
秘密行動,秘密行动,covert operation
非正審決定,非正审决定,interlocutory decision
公正審判的權利,公正审判的权利,right to a fair trial
犯罪者,犯罪者,perpetrator
判罰處理方法,判罚处理方法,sentencing approach
申請保釋等候上訴,申请保释等候上诉,application for bail pending appeal
單獨主審的法官,单独主审的法官,single judge
法規的釋義,法规的释义,interpretation of statutes
逾越其份,逾越其份,enter the arena
三合會社團的集會,三合会社团的集会,meeting of a triad society
未經使用的材料,未经使用的材料,unused material
住宅爆竊案,住宅爆窃案,domestic burglary
經考慮兼知情的決定,经考虑兼知情的决定,deliberate and informed decision
擱置……法律程序,搁置……法律程序,stay of proceedings
獨立無私之法定管轄法庭,独立无私之法定管辖法庭,"competent, independent and impartial tribunal"
判斷是否知情的客觀標準,判断是否知情的客观标准,objective test of knowledge
[案件的]特別爭論點,[案件的]特别争论点,special issue
維護個人利益的供詞,维护个人利益的供词,self-serving statement
下級法庭,下级法庭,court below
是非曲直,是非曲直,merits
經恰當指引的陪審團,经恰当指引的陪审团,properly directed jury
負刑責的不當行為,负刑责的不当行为,culpable misconduct
法律構定信託,法律构定信讬,constructive trust
經考慮兼知情的決定,经考虑兼知情的决定,deliberate and informed decision
案例被推翻,案例被推翻,case reversed
濫用法律程序,滥用法律程序,abuse of the process
案例遭否決,案例遭否决,case reversed
再修訂的控罪書,再修订的控罪书,re-amended charge sheet
提訊日,提讯日,return day
合法權限,合法权限,lawful authority
庭上辨認,庭上辨认,dock identification
控方重開案件提證,控方重开案件提证,re-open the prosecution case
書面傳聞證據,书面传闻证据,documentary hearsay evidence
爭議,争议,contentions
給予過份比重,给予过份比重,attach too much weight
串謀促致年齡在21歲以下的女童與人非法性交,串谋促致年龄在21岁以下的女童与人非法性交,conspiracy to procure girls under 21 to have unlawful sexual intercourse
刑罰條文,刑罚条文,penal provision
加重刑罰,加重刑罚,enhanced sentence
訴訟以外一方,诉讼以外一方,outside party
寬大的判刑,宽大的判刑,lenient sentence
招徠,招徕,touting
猥褻行為,猥亵行为,indecent conduct
慣常減刑幅度,惯常减刑幅度,usual discount
已裁決的問題不容推翻的原則,已裁决的问题不容推翻的原则,doctrine of issue estoppel
合理推斷,合理推断,reasonable inference
意圖使……受驚,意图使……受惊,intent to alarm
公眾衞生或道德,公众卫生或道德,public health or morals
在上訴裁決前所服刑期作廢,在上诉裁决前所服刑期作废,loss of time
法定免責辯護,法定免责辩护,statutory defence
證據確鑿,证据确凿,overwhelming evidence
豁除證據的剩餘酌情權,豁除证据的剩余酌情权,residual discretion to exclude evidence
評估證據,评估证据,evaluate evidence
遵照先例原則,遵照先例原则,stare decisis
閃避的證人,闪避的证人,evasive witness
實際使用暴力,实际使用暴力,actual violence
交付審訊,交付审讯,committed for trial
重新簽發的同意書,重新签发的同意书,fresh consent
因果關係,因果关系,causal link
量刑級別,量刑级别,sentencing band
明示或默示協議,明示或默示协议,expressly or tacitly agreed
不服命令的上訴,不服命令的上诉,appeal against ... order
錄影紀錄證據,录影纪录证据,video recorded evidence
牽連罪責的證據,牵连罪责的证据,inculpatory evidence
品格證明的參考資料,品格证明的参考资料,character reference
引出……證據,引出……证据,elicit evidence
先前的刑期,先前的刑期,pre-existing sentence
自新計劃,自新计划,rehabilitative programme
無辜解釋,无辜解释,innocent explanation
對公眾良知的公然冒犯,对公众良知的公然冒犯,affront to the public conscience
就被告人的品格作出全面指引,就被告人的品格作出全面指引,full character direction
招認是否可接納為證據,招认是否可接纳为证据,admissibility of confession
從合法羈押逃脫,从合法羁押逃脱,escape from lawful custody
簡易罪行,简易罪行,summary offence
削弱證據,削弱证据,undermine evidence
審訊時的主要爭論點,审讯时的主要争论点,central issue at trial
判刑法院,判刑法院,sentencing court
推翻認罪的申請,推翻认罪的申请,application for reversing the guilty plea
違憲,违宪,unconstitutional
雙重罪責原則,双重罪责原则,double criminality principle
辨認聲音,辨认声音,voice identification
失職程度,失职程度,degree of incompetence
在法官席前提出,在法官席前提出,put before the judge
整體刑罰的原則,整体刑罚的原则,the totality principle
有預謀的行為,有预谋的行为,premeditated act
證言,证言,testimony
闖入者,闯入者,trespasser
社會服務令報告,社会服务令报告,community service order report
擬定控罪,拟定控罪,framing of charge
串謀將人強行帶走或禁錮而意圖取得贖金,串谋将人强行带走或禁锢而意图取得赎金,conspiracy to forcibly take away or detain a person with intent to procure a ransom
保釋命令,保释命令,order for bail
司機的謹慎和審慎程度,司机的谨慎和审慎程度,care and prudence of driver
法律推定的條文,法律推定的条文,presumption provision
近期投訴,近期投诉,recent complaint
明顯辯護失職的評定標準,明显辩护失职的评定标准,test of flagrantly incompetent advocacy
推翻認罪的申請,推翻认罪的申请,application for reversing the guilty plea
串謀強行禁錮,串谋强行禁锢,conspiracy to commit forcible detention
正式聆訊[相對程序上的爭議],正式聆讯[相对程序上的争议],substantive hearing
宣布判決……的理由,宣布判决……的理由,handing down reasons for judgment
認出……的證據,认出……的证据,recognition evidence
懲罰性條文嚴格釋義,惩罚性条文严格释义,strict interpretation of penal provision
指引量刑,指引量刑,guideline tariffs
社交性質的販毒,社交性质的贩毒,social trafficking
明示或默示協議,明示或默示协议,expressly or tacitly agreed
技術違規,技术违规,technical breach
證據前後矛盾,证据前后矛盾,contradiction in evidence
多項罪行的控罪,多项罪行的控罪,duplicity of charge
受人信任的位置,受人信任的位置,position of trust
正式承認有罪,正式承认有罪,formal admission of guilt
阻嚇性刑罰,阻吓性刑罚,deterrent sentence
完備上訴理由,完备上诉理由,perfected grounds of appeal
有利指引,有利指引,favourable direction
犯罪意念,犯罪意念,mens rea
涉嫌罪責的證據,涉嫌罪责的证据,inculpatory evidence
判詞主旨,判词主旨,ratio decidendi
死於不幸,死于不幸,misadventure
不出庭,不出庭,non-appearance
被取消駕駛資格,被取消驾驶资格,disqualification
補缺除弊的原則,补缺除弊的原则,remedial construction
明確……罪行,明确……罪行,specific offence
良好品格指引,良好品格指引,good character direction
同案被控人一同判刑,同案被控人一同判刑,simultaneous sentencing of co-accused
精神紊亂的人,精神紊乱的人,mentally disordered person
加重刑罰因素,加重刑罚因素,aggravating factor
破壞誠信,破坏诚信,breach of trust
相對可能性,相对可能性,balance of probabilities
促致者,促致者,procurer
牽連罪責的招認,牵连罪责的招认,incriminating admission
即時及長期監禁,即时及长期监禁,immediate and long-term prison sentence
心境,心境,state of mind
失當行為,失当行为,misconduct
逾期上訴,逾期上诉,appeal out of time
豁除證據的剩餘酌情權,豁除证据的剩余酌情权,residual discretion to exclude evidence
就謊言的全面指引,就谎言的全面指引,full lies direction
列隊認人手續,列队认人手续,identification parades
成年的初犯者,成年的初犯者,first offender of full age
行使示威的憲法權利,行使示威的宪法权利,exercise of constitutional right to demonstrate
證據分量,证据分量,weight of evidence
不服釋放命令的上訴,不服释放命令的上诉,appeal from order for discharge
為所有用意及目的,为所有用意及目的,for all intents and purposes
量刑範圍,量刑范围,sentencing range
倒轉舉證責任的條文,倒转举证责任的条文,reverse-onus provision
普通法串謀罪,普通法串谋罪,common law conspiracy
提出……檢控,提出……检控,bring ... prosecution
承認控罪,承认控罪,plea of guilty
訟費,讼费,costs
潛在危險,潜在危险,latent risk
易受傷害證人,易受伤害证人,vulnerable witness
辯方提證,辩方提证,defence evidence
明示或默然同意,明示或默然同意,expressly or tacitly agreed
已裁決的問題不容推翻的原則,已裁决的问题不容推翻的原则,doctrine of issue estoppel
案例匯編,案例汇编,law reports
反駁,反驳,disprove
夥同犯案,伙同犯案,joint enterprise
負刑責的不當行為,负刑责的不当行为,culpable misconduct
法官加入戰團,法官加入战团,judge entering the arena
整體地考慮刑期,整体地考虑刑期,global view of sentence
以威脅促致他人作非法的性行為,以威胁促致他人作非法的性行为,procurement by threats
整體罪行刑期,整体罪行刑期,totality of sentence
懲罰性判刑,惩罚性判刑,exemplary sentence
在所有關鍵時候,在所有关键时候,at all material times
有利指引,有利指引,favourable direction
類同事實證據,类同事实证据,similar fact evidence
一罪兩審,一罪两审,double jeopardy
偏離慣常減刑,偏离惯常减刑,departure from customary discount
串謀以欺騙手段促致有價產權書的簽立,串谋以欺骗手段促致有价产权书的签立,conspiracy to procure the execution of valuable securities by deception
客觀的測試,客观的测试,objective test
刑案的舉證準則,刑案的举证准则,criminal standard of proof
非正審決定,非正审决定,interlocutory decision
干預裁判官在這方面所作的裁斷,干预裁判官在这方面所作的裁断,interfere with the findings of the magistrate on this point
具有重大而廣泛的重要性的法律論點,具有重大而广泛的重要性的法律论点,point of law of great and general importance
合理標準驗證,合理标准验证,reasonableness test
多項控罪,多项控罪,multiple offences
罪行重點,罪行重点,gravamen of the offence
管有及知悉……的推定,管有及知悉……的推定,presumption of possession and knowledge of ...
司法管轄權限,司法管辖权限,jurisdictional limit
酌情決定,酌情决定,discretion
不證自明,不证自明,res ipsa loquitur
擔保……沒收,担保……没收,recognizances ... estreated
暫時吊銷牌照期,暂时吊销牌照期,period of suspension
法官的判詞,法官的判词,per cur [per curiam]
申請編定審訊日期,申请编定审讯日期,application to fix a date for trial
常規規則,常规规则,rule of practice
性侵犯,性侵犯,sexual assault
犯下多項罪行,犯下多项罪行,multiplicity of offences
審理上訴的中級法院,审理上诉的中级法院,intermediate appellate court
使同意失效,使同意失效,vitiation of consent
騷擾,骚扰,harassment
明顯辯護失職的評定標準,明显辩护失职的评定标准,test of flagrantly incompetent advocacy
法定串謀罪,法定串谋罪,statutory conspiracy
構成罪行的不當行為,构成罪行的不当行为,culpable misconduct
感化令的規定及條件,感化令的规定及条件,requirements and conditions of the probation order
同期執行的刑期,同期执行的刑期,concurrent sentence
相關證據,相关证据,relevant evidence
經指引後作出的裁決,经指引后作出的裁决,directed verdict
正面的良好品格,正面的良好品格,positive good character
沒有悔意,没有悔意,absence of remorse
案件呈述,案件呈述,case stated
使……失效,使……失效,invalidate
辯方提證,辩方提证,defence evidence
凌駕性權益,凌驾性权益,overriding interests
減輕刑罰的因素,减轻刑罚的因素,mitigating factors
答辯提綱,答辩提纲,respondent’s skeleton arguments
須予報告的死亡個案,须予报告的死亡个案,reportable death
公開的作為,公开的作为,overt act
定罪紀錄,定罪纪录,conviction record
裁定罪名不成立,裁定罪名不成立,acquittal
監察名單,监察名单,watch list
可行的判刑選擇,可行的判刑选择,viable sentencing option
未有披露,未有披露,non-disclosure
具補救作用的詮釋,具补救作用的诠释,remedial construction
當前爭議問題,当前争议问题,live issue
濫用司法程序,滥用司法程序,abuse of process
有罪證明,有罪证明,proof of guilt
對事實的裁斷,对事实的裁断,finding of fact
提出告發,提出告发,lay an information
行使示威的憲法權利,行使示威的宪法权利,exercise of constitutional right to demonstrate
個別及不同的罪行,个别及不同的罪行,separate and distinct offence
法醫科醫生,法医科医生,forensic pathologist
證據撮要,证据撮要,summary of evidence
受官方看管,受官方看管,in official custody
法律裁判者,法律裁判者,tribunal of law
減刑的幅度,减刑的幅度,degree of discount
罪行與判刑必須相稱的法則,罪行与判刑必须相称的法则,the principle ... proportionality between offence and sentence
獲免予起訴的證人,获免予起诉的证人,immunised witness
刑罰須予擱置或減輕,刑罚须予搁置或减轻,the sentence shall be set aside or reduced
在相對可能性下,在相对可能性下,balance of probabilities
對公眾的妨擾,对公众的妨扰,public nuisance
非自願認罪,非自愿认罪,involuntary plea
撤回控罪,撤回控罪,withdraw the charge
主問證供,主问证供,evidence in chief
單一項罪行,单一项罪行,single offence
申請司法覆核的許可,申请司法复核的许可,application for leave to apply for judicial review
發回,发回,remit
與21歲以下女童作出肛交,与21岁以下女童作出肛交,buggery with girl under 21
總體量刑起點,总体量刑起点,overall starting point of sentence
構成罪行的不當行為,构成罪行的不当行为,culpable misconduct
干預裁判官在這方面所作的裁斷,干预裁判官在这方面所作的裁断,interfere with the findings of the magistrate on this point
不相稱的懲罰,不相称的惩罚,disproportionate punishment
襲擊他人致造成身體傷害,袭击他人致造成身体伤害,assault occasioning actual bodily harm
感化令的規定及條件,感化令的规定及条件,requirements and conditions of the probation order
三分一刑期減免,三分一刑期减免,discount of 1/3
循公訴程序,循公诉程序,upon indictment
無爭議的證據,无争议的证据,non-contentious evidence
個別及不同的罪行,个别及不同的罪行,separate and distinct offence
過堂,过堂,mention
串謀在賭博時作弊,串谋在赌博时作弊,conspiracy to cheat at gambling
類同事實證據,类同事实证据,similar fact evidence
會面視像紀錄,会面视像纪录,video recorded interview
緩刑,缓刑,suspended sentence
證據矛盾,证据矛盾,conflict of evidence
法律程序……以非公開形式進行,法律程序……以非公开形式进行,proceedings ... conducted ... in camera
擔保人,担保人,surety
追溯入罪,追溯入罪,retrospective incrimination
不能認出嫌疑人,不能认出嫌疑人,negative identification
潛逃,潜逃,flight
控方結案,控方结案,close of prosecution case
阻撓在正當執行職務的……警務人員,阻挠在正当执行职务的……警务人员,obstructs ... police officer in the due execution of his duty
自簽擔保……以保證遵守法紀,自签担保……以保证遵守法纪,bind over to keep the peace ... his own recognizances
轉移惡意,转移恶意,transferred malice
大赦,大赦,general pardon
附帶事項,附带事项,collateral issue
漠視法紀,漠视法纪,disregard of law and order
評估證據,评估证据,evaluate evidence
獨立無私之法定管轄法庭,独立无私之法定管辖法庭,"competent, independent and impartial tribunal"
劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis supplied
具體的裁斷,具体的裁断,specific finding
不服判刑的上訴,不服判刑的上诉,appeal against sentence
入院令,入院令,hospital order
參與的程度,参与的程度,degree of involvement
主觀的檢驗標準,主观的检验标准,subjective test
成功機會,成功机会,merits
對公眾良知的公然冒犯,对公众良知的公然冒犯,affront to the public conscience
執行公義，不忘寬大,执行公义，不忘宽大,temper justice with mercy
判斷是否知情的客觀標準,判断是否知情的客观标准,objective test of knowledge
原審法庭,原审法庭,first instance tribunal
收受賭注者,收受赌注者,bookmaker
破壞誠信的行為,破坏诚信的行为,act in breach of trust
唯一犯罪者,唯一犯罪者,sole perpetrator
不在犯罪現場,不在犯罪现场,alibi
悖理裁決,悖理裁决,perverse verdict
“同一事件” 的原則,“同一事件” 的原则,one-transaction rule
不得……接納為證據,不得……接纳为证据,inadmissible as evidence
死於胎中的個案,死于胎中的个案,still birth
傳召證人出庭令,传召证人出庭令,subpoenas
永久擱置法律程序,永久搁置法律程序,permanent stay of proceedings
普通法的次級參與原則,普通法的次级参与原则,common law doctrine of secondary participation
中立的旁觀者,中立的旁观者,neutral observer
重疊刑罰,重迭刑罚,overlapping sentence
威嚇,威吓,intimidation
真正相信,真正相信,true belief
有犯罪或不誠實意圖而取用電腦,有犯罪或不诚实意图而取用电脑,access to computer with criminal or dishonest intent
屢犯者,屡犯者,repeat offender
串謀以欺騙手段促致有價產權書的簽立,串谋以欺骗手段促致有价产权书的签立,conspiracy to procure the execution of valuable securities by deception
釋義規則,释义规则,rules of construction
書面傳聞證據,书面传闻证据,documentary hearsay evidence
陳詞綱領,陈词纲领,skeleton submission
舞弊意圖,舞弊意图,corrupt intent
有防止犯罪作用的司法措施,有防止犯罪作用的司法措施,preventive justice
移審撤銷令,移审撤销令,order of certiorari
恕我直言,恕我直言,with due respect
保釋期間潛逃,保释期间潜逃,abscond while on bail
證實知情的直接證據,证实知情的直接证据,direct evidence of knowledge
分享訴訟成果,分享诉讼成果,champerty
共同管有或各別管有,共同管有或各别管有,possessed jointly ... or severally
把法律問題提交上訴法庭考慮,把法律问题提交上诉法庭考虑,reserve question of law for consideration of Court of Appeal
自簽擔保……以保證遵守法紀,自签担保……以保证遵守法纪,bind over to keep the peace ... his own recognizances
訟辯人,讼辩人,advocate
最高刑罰,最高刑罚,maximum penalty
直接證據,直接证据,direct evidence
故意冒充,故意冒充,wilfully pretends
量刑基準,量刑基准,sentencing tariff
誤解,误解,misapprehension
從犯證人,从犯证人,accomplice witness
判給訟費,判给讼费,award of costs
法律論點,法律论点,point of law
爭訟審訊,争讼审讯,contested trial
即時及長期監禁,即时及长期监禁,immediate and long-term prison sentence
援引……證據,援引……证据,adduce evidence
法律構定信託,法律构定信讬,constructive trust
推翻認罪,推翻认罪,reverse guilty plea
案情摘要,案情摘要,brief facts
知情和有理可依的裁決,知情和有理可依的裁决,informed and reasoned verdict
證據舉證責任,证据举证责任,evidential onus
不必自我指證的原則,不必自我指证的原则,principle against self-incrimination
排除(證據)規則,排除(证据)规则,exclusionary rule
把法律問題提交上訴法庭考慮,把法律问题提交上诉法庭考虑,reserve question of law for consideration of Court of Appeal
共同及各別的刑責,共同及各别的刑责,joint and several criminal liability
把法律問題提交上訴法庭裁決,把法律问题提交上诉法庭裁决,reserve question of law for consideration of Court of Appeal
管有及知悉……的推定,管有及知悉……的推定,presumption of possession and knowledge of ...
申請編定審訊日期,申请编定审讯日期,application to fix a date for trial
判斷是否知情的客觀標準,判断是否知情的客观标准,objective test of knowledge
雙重刑罰,双重刑罚,double penalty
作出有違公德的行為,作出有违公德的行为,commit an act outraging public decency
加重刑罰因素,加重刑罚因素,aggravating factor
第二環節,第二环节,second limb
違反逗留條件,违反逗留条件,breach of condition of stay
串謀作出傾向並意圖妨礙司法公正的作為,串谋作出倾向并意图妨碍司法公正的作为,conspiracy to do an act or acts tending and intended to pervert the course of public justice
作出傾向並意圖妨礙司法公正的作為,作出倾向并意图妨碍司法公正的作为,doing an act tending and intended to pervert the course of public justice
判詞旁論,判词旁论,obiter dictum
並不穩妥或並不令人滿意,并不稳妥或并不令人满意,unsafe or unsatisfactory
不能認出嫌疑人,不能认出嫌疑人,negative identification
無定罪紀錄,无定罪纪录,clear record
集團式犯罪活動,集团式犯罪活动,syndicated criminal activity
知情,知情,knowledge
在官方機構看管下,在官方机构看管下,in official custody
專有審判權,专有审判权,exclusive jurisdiction
沒有爭議的案情,没有争议的案情,facts not in dispute
法官加入戰團,法官加入战团,judge entering the arena
假釋,假释,parole
轉移惡意,转移恶意,transferred malice
清醒及合理的人,清醒及合理的人,sober and reasonable people
串謀將人強行帶走或禁錮而意圖取得贖金,串谋将人强行带走或禁锢而意图取得赎金,conspiracy to forcibly take away or detain a person with intent to procure a ransom
傳喚他人作證,传唤他人作证,call and give evidence
作出傾向並意圖妨礙司法公正的作為,作出倾向并意图妨碍司法公正的作为,doing an act tending and intended to pervert the course of public justice
自然正義法則,自然正义法则,rules of natural justice
品格證明的參考資料,品格证明的参考资料,character reference
提出檢控,提出检控,initiation of prosecution
逾期逗留,逾期逗留,overstaying
不良品格的……證據,不良品格的……证据,evidence of bad character
合乎情理的判刑政策,合乎情理的判刑政策,sensible sentencing policy
侮辱或不檢的行為,侮辱或不检的行为,insulting or disorderly conduct
串謀作出有違公德的行為,串谋作出有违公德的行为,conspiracy to outrage public decency
不服定罪的上訴,不服定罪的上诉,appeal against conviction
駁回控罪,驳回控罪,dismiss the charge
適當的量刑起點,适当的量刑起点,appropriate starting point
開審陳詞,开审陈词,opening address
真正風險,真正风险,real risk
控方開審陳詞,控方开审陈词,prosecution opening
矛盾證供,矛盾证供,conflicting evidence
沒收令,没收令,forfeiture order
開脫罪責部分,开脱罪责部分,exculpatory part
良好品格指引,良好品格指引,direction on good character
失當行為,失当行为,misfeasance
錯誤的辨認,错误的辨认,mistaken identification
欠妥的告發書,欠妥的告发书,defective information
舉證責任……轉移至,举证责任……转移至,burden of proof ... shifted
犯罪傾向,犯罪倾向,propensity to commit crime
將案件發還……處理,将案件发还……处理,remit the case
有權採取適當行動的人,有权采取适当行动的人,person who may have power to take appropriate action
完整罪行,完整罪行,full offence
沒有好的成功機會的上訴案件,没有好的成功机会的上诉案件,unmeritorious appeal
誠實的證人,诚实的证人,honest witness
同意檢控書,同意检控书,consent to prosecute
法官加入控辯雙方的訟辯,法官加入控辩双方的讼辩,judge entering the arena
慫使和促致謀殺,怂使和促致谋杀,counselling and procuring murder
就被告辯稱不在犯罪現場所作的指引,就被告辩称不在犯罪现场所作的指引,alibi direction
針對……命令提出上訴,针对……命令提出上诉,appeal against ... order
誠實可靠的證人,诚实可靠的证人,truthful and reliable witness
模稜兩可及意義不明的認罪,模棱两可及意义不明的认罪,equivocal plea
過高利率,过高利率,excessive interest rates
法庭定罪,法庭定罪,court conviction
免責辯護,免责辩护,defence
有合理的投訴或抱怨,有合理的投诉或抱怨,legitimate sense of grievance
後期認罪,后期认罪,late plea
在法官席前提出,在法官席前提出,put before the judge
因果連鎖,因果连锁,chain of causation
良好品格,良好品格,good character
過堂聆訊,过堂聆讯,call over
撤銷由律師代表,撤销由律师代表,dismissal of counsel
量刑過程,量刑过程,sentencing process
案例須予遵循,案例须予遵循,case followed
所得到的最好的證據,所得到的最好的证据,best evidence available
品格證明的參考資料,品格证明的参考资料,character reference
一般法律原則,一般法律原则,general principles of law
劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis added
反對陪審員人選,反对陪审员人选,challenge of jurors
對證供重新評估,对证供重新评估,re-evaluation of evidence
登錄不認罪的答辯,登录不认罪的答辩,plea of not guilty to be entered
就幾乎必然發生的情況給予指引,就几乎必然发生的情况给予指引,virtual certainty direction
令誠信盡失,令诚信尽失,discredited
判刑等級,判刑等级,scale of sentencing
檢控時限已過,检控时限已过,time-barred
欠妥的告發書,欠妥的告发书,defective information
一般的審慎旁觀者,一般的审慎旁观者,ordinary prudent bystander
公正審判的權利,公正审判的权利,right to a fair trial
平等,平等,parity
寬鬆的解釋,宽松的解释,liberal interpretation
較高舉證準則,较高举证准则,higher standard of proof
舞弊意圖,舞弊意图,corrupt intent
專業裁判官,专业裁判官,professional magistrate
須呈報的死亡個案,须呈报的死亡个案,reportable death
適用範圍,适用范围,parameter
罪行的相對嚴重性,罪行的相对严重性,comparative gravity of offence
附表的危險藥物,附表的危险药物,scheduled dangerous drug
接納為證據,接纳为证据,admitted in evidence
申請查閱對方準備呈堂的文件及證物表,申请查阅对方准备呈堂的文件及证物表,discovery
整體刑期,整体刑期,totality of sentence
法證科學專家/法證化驗師,法证科学专家/法证化验师,forensic scientist
領域外管轄權,领域外管辖权,extra-territorial jurisdiction
案中案程序,案中案程序,voire dire
覆核訟費的評定,复核讼费的评定,review of taxation of costs
書面偵訊,书面侦讯,paper committal
提供法律指引的律師,提供法律指引的律师,advising counsel
較低舉證準則,较低举证准则,lower standard of proof
身體受嚴重傷害,身体受严重伤害,grievous bodily harm
法官加入控辯雙方的訟辯,法官加入控辩双方的讼辩,judge entering the arena
明確……罪行,明确……罪行,specific offence
不同的罪行,不同的罪行,discrete offence
把法律問題提交上訴法庭裁決,把法律问题提交上诉法庭裁决,reserve question of law for consideration of Court of Appeal
串謀非法禁錮,串谋非法禁锢,conspiracy to commit false imprisonment
司法過程,司法过程,in the course of justice
以合理的努力作為免責辯護,以合理的努力作为免责辩护,defence of reasonable diligence
書面偵訊,书面侦讯,paper committal
沒收財產聆訊,没收财产聆讯,forfeiture hearing
心理專家報告,心理专家报告,psychologist's report
指引範本,指引范本,specimen direction
為了司法公正,为了司法公正,in the interests of justice
司法酌情權,司法酌情权,judicial discretion
擔保,担保,recognizance
盤問,盘问,cross-examine
有罪證據,有罪证据,evidence of guilt
不認罪的答辯,不认罪的答辩,plea of not guilty
一般審慎及盡力的人,一般审慎及尽力的人,ordinarily prudent and diligent man
導致自己……入罪,导致自己……入罪,incrimination of self
舉證責任在於控方,举证责任在于控方,burden on prosecution
適當的刑期基準,适当的刑期基准,appropriate starting point
有權採取適當行動的人,有权采取适当行动的人,person who may have power to take appropriate action
懲罰性及阻嚇性的刑期,惩罚性及阻吓性的刑期,retributive and deterrent sentence
口頭證據,口头证据,parol evidence
不在犯罪現場,不在犯罪现场,alibi
不同的罪行,不同的罪行,discrete offence
證據舉證責任,证据举证责任,evidential onus
無條件釋放,无条件释放,absolute discharge
控方律師,控方律师,prosecuting counsel
作出傾向並意圖妨礙司法公正的作為,作出倾向并意图妨碍司法公正的作为,doing an act tending and intended to pervert the course of public justice
判刑證明書,判刑证明书,certificate of sentences
招認的可接納性,招认的可接纳性,admissibility of confession
量刑選擇,量刑选择,sentencing option
康復服務,康复服务,rehabilitation
對案件有關鍵性的謊言,对案件有关键性的谎言,material lie
共同控罪,共同控罪,joint charge
專業裁判官,专业裁判官,professional magistrate
欺騙手段,欺骗手段,deception
法證科學專家/法證化驗師,法证科学专家/法证化验师,forensic scientist
移交命令完備,移交命令完备,the transfer order ... perfected
受到……性侵犯,受到……性侵犯,sexually abused
提出,提出,submit
犯罪元素,犯罪元素,ingredient of offence
合理努力,合理努力,reasonable diligence
意識自己有罪,意识自己有罪,consciousness of guilt
貫徹立法的目的,贯彻立法的目的,promote the objects of the statute
基於錯誤理解而提出的反對,基于错误理解而提出的反对,objection misconceived
意念,意念,state of mind
特定意圖,特定意图,specific intent
擱置……法律程序,搁置……法律程序,stay of proceedings
指出,指出,put case
罪行與判刑必須相稱的法則,罪行与判刑必须相称的法则,the principle ... proportionality between offence and sentence
案例須予遵循,案例须予遵循,case followed
重新簽發的同意書,重新签发的同意书,fresh consent
已裁決的問題不容推翻的原則,已裁决的问题不容推翻的原则,doctrine of issue estoppel
互相矛盾的事實陳述,互相矛盾的事实陈述,contradictory statements of fact
作出及簽署案件呈述,作出及签署案件呈述,state and sign a case
過渡性的條文,过渡性的条文,transitional provision
書面傳聞證據,书面传闻证据,documentary hearsay evidence
適當的法律程序,适当的法律程序,due process of law
實際意圖,实际意图,actual intention
輕判選擇,轻判选择,soft option
社會服務令報告,社会服务令报告,community service order report
整體地考慮刑期,整体地考虑刑期,global view of sentence
非自願作出的供詞,非自愿作出的供词,involuntary statement
獲免予起訴的從犯,获免予起诉的从犯,accomplice with immunity
同期執行的命令,同期执行的命令,concurrent order
證據上的空隙,证据上的空隙,lacuna in the evidence
會導致入罪的證據,会导致入罪的证据,incriminating evidence
關鍵時間,关键时间,material time
證據的連鎖性,证据的连锁性,chain of evidence
因認罪而減刑,因认罪而减刑,discount for guilty plea
不針對……舉出證據,不针对……举出证据,offer no evidence against ...
辯方理由,辩方理由,defence
不在犯罪現場的通知,不在犯罪现场的通知,notice of alibi
審理上訴的中級法院,审理上诉的中级法院,intermediate appellate court
第一環節,第一环节,first limb
普通法的次級參與原則,普通法的次级参与原则,common law doctrine of secondary participation
知情的默許,知情的默许,informed acquiescence
專有審判權,专有审判权,exclusive jurisdiction
身體受嚴重傷害,身体受严重伤害,grievous bodily harm
罪行詳情,罪行详情,particulars of offence
寬大的判刑,宽大的判刑,lenient sentence
保釋期間潛逃,保释期间潜逃,abscond while on bail
筆跡鑑證專家,笔迹鉴证专家,handwriting expert
糾正,纠正,redress
排除(證據)規則,排除(证据)规则,exclusionary rule
自招嫌疑,自招嫌疑,brought suspicion upon himself
公職人員行為失當,公职人员行为失当,misconduct in public office
交替控罪,交替控罪,alternative charge
可行和可供考慮的判罰方式,可行和可供考虑的判罚方式,feasible sentencing option
控罪不得包含多項罪行的原則,控罪不得包含多项罪行的原则,rule against duplicity
破壞誠信的行為,破坏诚信的行为,act in breach of trust
具關鍵性的裁斷,具关键性的裁断,material finding
害怕受損,害怕受损,fear of prejudice
以虛假藉口促致他人作非法的性行為,以虚假借口促致他人作非法的性行为,procurement by false pretences
要求控方全面證案,要求控方全面证案,put the prosecution to straight proof
不可推翻……的推定,不可推翻……的推定,presumption ... conclusive
